iter	Passed	Remaining
892	6082	728
893	6089	721
894	6095	715
895	6102	708
896	6108	701
897	6115	694
898	6121	687
899	6128	680
900	6134	674
901	6141	667
902	6147	660
903	6154	653
904	6161	646
905	6168	639
906	6174	633
907	6181	626
908	6187	619
909	6194	612
910	6201	605
911	6207	599
912	6214	592
913	6221	585
914	6228	578
915	6234	571
916	6241	564
917	6247	558
918	6255	551
919	6261	544
920	6268	537
921	6274	530
922	6281	524
923	6287	517
924	6294	510
925	6300	503
926	6307	496
927	6313	489
928	6320	483
929	6326	476
930	6332	469
931	6339	462
932	6345	455
933	6351	448
934	6358	442
935	6364	435
936	6370	428
937	6377	421
938	6383	414
939	6389	407
940	6396	401
941	6402	394
942	6409	387
943	6415	380
944	6421	373
945	6427	366
946	6434	360
947	6440	353
948	6447	346
949	6453	339
950	6459	332
951	6465	326
952	6471	319
953	6477	312
954	6483	305
955	6490	298
956	6496	291
957	6502	285
958	6509	278
959	6515	271
960	6521	264
961	6528	257
962	6534	251
963	6540	244
964	6546	237
965	6552	230
966	6559	223
967	6565	217
968	6571	210
969	6578	203
970	6584	196
971	6590	189
972	6597	183
973	6603	176
974	6609	169
975	6616	162
976	6622	155
977	6628	149
978	6635	142
979	6641	135
980	6647	128
981	6654	121
982	6660	115
983	6666	108
984	6672	101
985	6679	94
986	6685	88
987	6691	81
988	6697	74
989	6704	67
990	6710	60
991	6716	54
992	6723	47
993	6729	40
994	6736	33
995	6742	27
996	6748	20
997	6754	13
998	6761	6
999	6768	0
